1,null,null,null,0,1,엔케이(NK) 세종 병원,세종 한누리대로 161,나성동,1800-3114,24시간,24시간,토요일 / 일요일 운영,응급실 운영기관,36.479739,127.262182,1
2,null,null,null,0,1,세종 충남대학교 병원,세종 보듬7로 20,도담동,044-850-7700,24시간,24시간,토요일 / 일요일 운영,응급실 운영기관,36.51943806,127.2582177,1
3,null,null,null,0,1,한사랑 의원,세종 도움1로 106 (메가시티) 5층,종촌동,044-867-3569,09:00 ~ 22:00,09:00 ~ 22:00,토요일 / 일요일 운영,-,36.502449,127.248440,1
4,null,null,null,0,1,매일연합 의원,세종 절재로 154 (홈플러스 세종점),어진동,044-864-7975,10:00 ~ 21:00,10:00 ~ 21:00,토요일 / 일요일 운영,2/4째주 일요일 휴진,36.507328,127.258975,1
5,null,null,null,0,1,365열린연합 의원,세종 마음로 74 (그랜드 프라자) 3층,고운동,044-864-7757,09:00 ~ 22:00,토요일 09:00 ~ 17:00,토요일 운영,-,36.505392,127.233847,1
6,null,null,null,0,1,곰돌이 소아청소년과 의원,세종 달빛로 47 (종촌파크 프라자) 3층,종촌동,044-866-0275,09:00 ~ 21:00,주말 및 공휴일 09:00 ~ 16:00,토요일 / 일요일 운영,-,36.503031,127.249820,1
7,null,null,null,0,1,세종 아이소아청소년과 의원,세종 달빛로 59 (호만빌딩) 3층,종촌동,044-864-0800,08:00 ~ 21:00,주말 및 공휴일 09:00 ~ 16:00,토요일 / 일요일 운영,-,36.504356,127.249962,1
8,null,null,null,0,1,웰키즈 소아청소년과 의원,세종 보듬3로 95 (해피라움3) 4층,아름동,044-868-4880,08:00 ~ 22:00,주말 및 공휴일 09:00 ~ 21:00,토요일 / 일요일 운영,-,36.511513,127.248695,1
9,null,null,null,0,1,라온 소아청소년과 의원,세종 새롬중앙로 62-15 (해피라움W) 3층,새롬동,044-866-1350,08:30 ~ 21:00,주말 및 공휴일 09:00 ~ 16:00,토요일 / 일요일 운영,-,36.486285,127.252042,1
10,null,null,null,0,1,제일 한의원,세종 도움3로 105-7 (메디케어빌딩),종촌동,044-862-2555,10:00 ~ 20:00,주말 및 공휴일 10:00 ~ 16:00,토요일 / 일요일 운영,금요일 휴진,36.504590,127.249708,1
11,null,null,null,0,1,모드니 치과 의원,세종 금송로 687 (이마트 세종점),가람동,044-864-2876,10:00 ~ 21:00,주말 및 공휴일 10:00 ~ 18:00,토요일 / 일요일 운영,2/4째주 일요일 휴진,36.471025,127.250953,1
12,null,null,null,0,1,라비에 피부과 의원,세종 다정중앙로 51 (더다정빌딩) 5층,다정동,044-864-5005,09:30 ~ 19:00,토요일 09:00 ~ 14:00 / 공휴일 09:30 ~ 19:00,토요일 운영,수요일 및 일요일 휴진,36.495330,127.246715,1
13,null,null,null,0,1,코끼리 소아청소년과 의원,세종 한누리대로 2012 (코끼리 타워) 4층,소담동,044-867-8867,08:00 ~ 22:00,토요일 08:00 ~ 17:00 / 일요일 및 공휴일 09:00 ~  13:00,토요일 / 일요일 운영,-,36.485682,127.300236,1
14,null,null,null,0,1,세종 스타 치과 의원,세종 나성로 125-16 (스타타워) 7층8층,나성동,044-905-2222,09:30 ~ 21:00,토요일 09:30 ~ 15:30,토요일 운영,일요일 및 공휴일 휴진,36.490204,127.257578,1
15,null,null,null,0,1,서문365 정형외과 의원,세종 한누리대로 2281 (SM메디컬 센터) 3층,대평동,044-868-1039,09:00 ~ 22:00,토요일 09:00 ~ 23:00 / 일요일 및 공휴일 09:00 ~ 22:00,토요일 / 일요일 운영,-,36.471040,127.275554,1
16,null,null,null,0,1,다정 서문365 정형외과 의원,세종 다정중앙로 52 (페스티발2) 6층,다정동,044-865-1039,09:00 ~ 20:00,토요일 09:00 ~ 16:00 / 공휴일 09:00 ~ 13:00,토요일 운영,일요일 휴진,36.494961,127.249215,1
17,null,null,null,0,1,세종 우리 의원,세종 다정중앙로 52 (페스티발2) 5층,다정동,044-867-1170,09:00 ~ 21:00,주말 및 공휴일 09:00 ~ 17:00,토요일 / 일요일 운영,-,36.494948,127.249320,1
